// SpatialAnalyzer SA 2018.12.07_49785 ( x64 )  
// Points Relative to Coordinate Frame 'Block frame calcs 16Apr19::Primary with Y=0 at Nova Target'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Group,  Point,  X,  Y,  Z

Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_3,  2042.6,  18816.6,  137.9
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_4,  1458.3,  18820.4,  162.0
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_5,  1472.2,  18824.3,  1343.1
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Inner_6,  2058.2,  18820.4,  1307.2
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_1,  2105.6,  18820.3,  1319.7
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_2,  2689.9,  18817.1,  1294.7
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_3,  2674.0,  18812.6,  -12.8
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_4,  2089.5,  18816.2,  24.7
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_5,  2075.9,  18814.9,  -1050.7
Block 2 DNST Plane Offset Points,  18Mar19::Block 2 DNST Plane (1.5" SMR)::Block 2 DNST Plane BR Outer_6,  2657.7,  18811.4,  -1083.4
Block 1 Center Split points projected,  Block 1 Center Split_1 on object,  1360.8,  14618.1,  -1208.1
Block 1 Center Split points projected,  Block 1 Center Split_2 on object,  1360.9,  14618.1,  -1197.5
Block 1 Center Split points projected,  Block 1 Center Split_3 on object,  1360.9,  14618.1,  -1187.0
Block 1 Center Split points projected,  Block 1 Center Split_4 on object,  1360.9,  14618.1,  -1175.3
Block 1 Center Split points projected,  Block 1 Center Split_5 on object,  1361.1,  14618.1,  -1164.8
Block 1 Center Split points projected,  Block 1 Center Split_6 on object,  1361.4,  14618.1,  -1154.2
Block 1 Center Split points projected,  Block 1 Center Split_7 on object,  1362.1,  14618.0,  -1143.5
Block 1 Center Split points projected,  Block 1 Center Split_8 on object,  1361.5,  14618.0,  -1132.9
Block 1 Center Split points projected,  Block 1 Center Split_9 on object,  1361.6,  14618.0,  -1121.4
Block 1 Center Split points projected,  Block 1 Center Split_10 on object,  1361.3,  14618.0,  -1110.6
Block 1 Center Split points projected,  Block 1 Center Split_11 on object,  1361.5,  14618.0,  -1099.9
Block 1 Center Split points projected,  Block 1 Center Split_12 on object,  1361.7,  14618.0,  -1088.2
Block 1 Center Split points projected,  Block 1 Center Split_13 on object,  1361.4,  14618.0,  -1077.9
Block 1 Center Split points projected,  Block 1 Center Split_14 on object,  1360.0,  14618.0,  -1067.6
Block 1 Center Split points projected,  Block 1 Center Split_15 on object,  1359.7,  14618.0,  -1056.7
Block 1 Center Split points projected,  Block 1 Center Split_16 on object,  1360.0,  14618.0,  -1046.1
Block 1 Center Split points projected,  Block 1 Center Split_17 on object,  1362.2,  14618.0,  -1034.7
Block 1 Center Split points projected,  Block 1 Center Split_18 on object,  1362.7,  14618.0,  -1023.6
Block 1 Center Split points projected,  Block 1 Center Split_19 on object,  1362.8,  14618.0,  -1012.3
Block 1 Center Split points projected,  Block 1 Center Split_20 on object,  1362.9,  14618.0,  -999.9
Block 1 Center Split points projected,  Block 1 Center Split_21 on object,  1363.1,  14618.0,  -989.9
Block 1 Center Split points projected,  Block 1 Center Split_22 on object,  1363.2,  14618.0,  -979.0
Block 1 Center Split points projected,  Block 1 Center Split_23 on object,  1363.4,  14618.0,  -968.6
Block 1 Center Split points projected,  Block 1 Center Split_24 on object,  1363.5,  14618.0,  -956.4
Block 1 Center Split points projected,  Block 1 Center Split_25 on object,  1363.7,  14617.9,  -944.4
Block 1 Center Split points projected,  Block 1 Center Split_26 on object,  1363.8,  14617.9,  -933.1
Block 1 Center Split points projected,  Block 1 Center Split_27 on object,  1364.0,  14617.9,  -922.6
Block 1 Center Split points projected,  Block 1 Center Split_28 on object,  1364.1,  14617.9,  -911.6
Block 1 Center Split points projected,  Block 1 Center Split_29 on object,  1364.3,  14617.9,  -901.2
Block 1 Center Split points projected,  Block 1 Center Split_30 on object,  1364.4,  14617.9,  -890.1
Block 1 Center Split points projected,  Block 1 Center Split_31 on object,  1364.6,  14617.9,  -879.8
Block 1 Center Split points projected,  Block 1 Center Split_32 on object,  1364.7,  14617.9,  -869.1
Block 1 Center Split points projected,  Block 1 Center Split_33 on object,  1364.8,  14617.9,  -858.7
Block 1 Center Split points projected,  Block 1 Center Split_34 on object,  1365.0,  14617.9,  -848.4
Block 1 Center Split points projected,  Block 1 Center Split_35 on object,  1365.1,  14617.9,  -837.8
Block 1 Center Split points projected,  Block 1 Center Split_36 on object,  1364.8,  14617.9,  -827.5
Block 1 Center Split points projected,  Block 1 Center Split_37 on object,  1365.3,  14617.9,  -816.7
Block 1 Center Split points projected,  Block 1 Center Split_38 on object,  1365.5,  14617.9,  -805.0
Block 1 Center Split points projected,  Block 1 Center Split_39 on object,  1365.7,  14617.9,  -794.0
Block 1 Center Split points projected,  Block 1 Center Split_40 on object,  1365.8,  14617.9,  -783.7
Block 1 Center Split points projected,  Block 1 Center Split_41 on object,  1366.0,  14617.9,  -773.0
Block 1 Center Split points projected,  Block 1 Center Split_42 on object,  1366.1,  14617.8,  -760.7
Block 1 Center Split points projected,  Block 1 Center Split_43 on object,  1366.3,  14617.8,  -747.8
Block 1 Center Split points projected,  Block 1 Center Split_44 on object,  1366.5,  14617.8,  -737.0
Block 1 Center Split points projected,  Block 1 Center Split_45 on object,  1366.6,  14617.8,  -725.5
Block 1 Center Split points projected,  Block 1 Center Split_46 on object,  1366.7,  14617.8,  -714.8
Block 1 Center Split points projected,  Block 1 Center Split_47 on object,  1366.9,  14617.8,  -703.9
Block 1 Center Split points projected,  Block 1 Center Split_48 on object,  1367.1,  14617.8,  -692.0
Block 1 Center Split points projected,  Block 1 Center Split_49 on object,  1367.2,  14617.8,  -681.2
Block 1 Center Split points projected,  Block 1 Center Split_50 on object,  1367.4,  14617.8,  -670.0
Block 1 Center Split points projected,  Block 1 Center Split_51 on object,  1367.6,  14617.8,  -658.6
Block 1 Center Split points projected,  Block 1 Center Split_52 on object,  1367.7,  14617.8,  -648.4
Block 1 Center Split points projected,  Block 1 Center Split_53 on object,  1367.8,  14617.8,  -638.1
Block 1 Center Split points projected,  Block 1 Center Split_54 on object,  1368.0,  14617.8,  -627.4
Block 1 Center Split points projected,  Block 1 Center Split_55 on object,  1368.1,  14617.8,  -617.2
Block 1 Center Split points projected,  Block 1 Center Split_56 on object,  1368.3,  14617.8,  -606.6
Block 1 Center Split points projected,  Block 1 Center Split_57 on object,  1368.4,  14617.8,  -596.6
Block 1 Center Split points projected,  Block 1 Center Split_58 on object,  1368.6,  14617.7,  -586.0
Block 1 Center Split points projected,  Block 1 Center Split_59 on object,  1368.8,  14617.7,  -575.0
Block 1 Center Split points projected,  Block 1 Center Split_60 on object,  1368.9,  14617.7,  -564.8
Block 1 Center Split points projected,  Block 1 Center Split_61 on object,  1369.0,  14617.7,  -554.1
Block 1 Center Split points projected,  Block 1 Center Split_62 on object,  1369.1,  14617.7,  -543.4
Block 1 Center Split points projected,  Block 1 Center Split_63 on object,  1369.3,  14617.7,  -532.5
Block 1 Center Split points projected,  Block 1 Center Split_64 on object,  1369.5,  14617.7,  -522.5
Block 1 Center Split points projected,  Block 1 Center Split_65 on object,  1369.6,  14617.7,  -510.7
Block 1 Center Split points projected,  Block 1 Center Split_66 on object,  1369.8,  14617.7,  -499.3
Block 1 Center Split points projected,  Block 1 Center Split_67 on object,  1370.0,  14617.7,  -489.1
Block 1 Center Split points projected,  Block 1 Center Split_68 on object,  1370.2,  14617.7,  -478.3
Block 1 Center Split points projected,  Block 1 Center Split_69 on object,  1370.4,  14617.7,  -467.0
Block 1 Center Split points projected,  Block 1 Center Split_70 on object,  1370.5,  14617.7,  -456.2
Block 1 Center Split points projected,  Block 1 Center Split_71 on object,  1370.7,  14617.7,  -445.1
Block 1 Center Split points projected,  Block 1 Center Split_72 on object,  1370.8,  14617.7,  -434.3
Block 1 Center Split points projected,  Block 1 Center Split_73 on object,  1371.0,  14617.7,  -423.8
Block 1 Center Split points projected,  Block 1 Center Split_74 on object,  1371.1,  14617.7,  -412.6
Block 1 Center Split points projected,  Block 1 Center Split_75 on object,  1371.3,  14617.6,  -401.6
Block 1 Center Split points projected,  Block 1 Center Split_76 on object,  1371.4,  14617.6,  -391.0
Block 1 Center Split points projected,  Block 1 Center Split_77 on object,  1371.5,  14617.6,  -379.5
Block 1 Center Split points projected,  Block 1 Center Split_78 on object,  1371.7,  14617.6,  -368.6
Block 1 Center Split points projected,  Block 1 Center Split_79 on object,  1371.5,  14617.6,  -358.3
Block 1 Center Split points projected,  Block 1 Center Split_80 on object,  1371.8,  14617.6,  -346.6
Block 1 Center Split points projected,  Block 1 Center Split_81 on object,  1371.8,  14617.6,  -335.7
Block 1 Center Split points projected,  Block 1 Center Split_82 on object,  1372.2,  14617.6,  -324.6
Block 1 Center Split points projected,  Block 1 Center Split_83 on object,  1379.8,  14617.3,  220.2
Block 1 Center Split points projected,  Block 1 Center Split_84 on object,  1380.0,  14617.3,  232.4
Block 1 Center Split points projected,  Block 1 Center Split_85 on object,  1380.2,  14617.3,  242.6
Block 1 Center Split points projected,  Block 1 Center Split_86 on object,  1380.4,  14617.3,  253.4
Block 1 Center Split points projected,  Block 1 Center Split_87 on object,  1380.6,  14617.3,  264.7
Block 1 Center Split points projected,  Block 1 Center Split_88 on object,  1380.7,  14617.3,  275.5
Block 1 Center Split points projected,  Block 1 Center Split_89 on object,  1380.9,  14617.3,  286.0
Block 1 Center Split points projected,  Block 1 Center Split_90 on object,  1381.0,  14617.3,  297.8
Block 1 Center Split points projected,  Block 1 Center Split_91 on object,  1381.2,  14617.3,  308.2
Block 1 Center Split points projected,  Block 1 Center Split_92 on object,  1381.3,  14617.3,  318.8
